League,Team,Team_Code,GF,GA,First_Half_Ball_Possession,First_Half_Goal_Attempts,First_Half_Shots_on_Goal,First_Half_Shots_off_Goal,First_Half_Blocked_Shots,First_Half_Free_Kicks,First_Half_Corner_Kicks,First_Half_Offsides,First_Half_Throw_in,First_Half_Goalkeeper_Saves,First_Half_Fouls,First_Half_Red_Cards,First_Half_Yellow_Cards,First_Half_Total_Passes,First_Half_Completed_Passes,First_Half_Tackles,Second_Half_Ball_Possession,Second_Half_Goal_Attempts,Second_Half_Shots_on_Goal,Second_Half_Shots_off_Goal,Second_Half_Blocked_Shots,Second_Half_Free_Kicks,Second_Half_Corner_Kicks,Second_Half_Offsides,Second_Half_Throw_in,Second_Half_Goalkeeper_Saves,Second_Half_Fouls,Second_Half_Red_Cards,Second_Half_Yellow_Cards,Second_Half_Total_Passes,Second_Half_Completed_Passes,Second_Half_Tackles,Lineup,Points,HomeAway,HW,D,HL,Target
03/17/2019 03:00,JP1,Shonan,21951827362008594648883536910653776723247785863029201883067385866188,2,1,51,9,3,6,0,3,3,0,0,0,0,0,0,0,0,0,41,8,2,6,0,12,2,3,0,2,0,0,1,0,0,0,3421,3,1,1,0,0,1
03/17/2019 03:00,JP1,Vegalta_Sendai,7809494096275569048641065598574690915786357635383918633229954718299,1,2,49,1,0,1,0,3,0,0,0,2,0,0,0,0,0,0,59,12,3,9,0,8,2,1,0,1,0,0,0,0,0,0,3421,0,-1,0,0,1,1
03/17/2019 02:00,JP1,Oita,2885764814548894276926400612303898441863443477622320398462679169850,2,0,50,5,3,2,0,5,1,0,0,2,0,0,1,0,0,0,34,3,0,3,0,8,1,3,0,0,0,0,0,0,0,0,3421,3,1,1,0,0,1
03/17/2019 02:00,JP1,Yokohama_M.,16094920739936548237032227990675930372657339450634973912855699429460,0,2,50,3,2,1,0,9,3,0,0,3,0,0,2,0,0,0,66,11,0,11,0,12,6,5,0,0,0,0,0,0,0,0,433,0,-1,0,0,1,1
03/17/2019 01:00,JP1,C-Osaka,9379043907148681469912573764471360752304545483186507996424426661232,1,2,58,11,2,9,0,5,2,0,0,2,0,0,0,0,0,0,62,9,1,8,0,8,3,1,0,0,0,0,0,0,0,0,3421,0,1,0,0,1,-1
03/17/2019 01:00,JP1,Urawa,12277803513596284668678681490685672364591056843865351348739412613579,2,1,42,4,2,2,0,6,1,0,0,2,0,0,0,0,0,0,38,5,1,4,0,8,3,2,0,0,0,0,2,0,0,0,3142,3,-1,1,0,0,-1
03/17/2019 01:00,JP1,Hiroshima,22379657337813113839422123288363214537262931752166586978660657845533,1,0,62,5,5,0,0,4,2,1,0,0,0,0,0,0,0,0,58,6,3,3,0,13,1,2,0,1,0,0,0,0,0,0,3421,3,1,1,0,0,1
03/17/2019 01:00,JP1,Yamaga,5152160968020653588368301713562173418849941119435067518794398247800,0,1,38,2,0,2,0,9,1,1,0,5,0,0,0,0,0,0,42,2,1,1,0,7,1,1,0,2,0,0,1,0,0,0,3421,0,-1,0,0,1,1
03/17/2019 01:00,JP1,Kawasaki_Frontale,10560245902826127973398162666475706200810874341131383835747628649601,0,1,56,8,4,4,0,9,2,1,0,2,0,0,0,0,0,0,52,10,0,10,0,9,5,2,0,2,0,0,1,0,0,0,4231,0,1,0,0,1,-1
03/17/2019 01:00,JP1,G-Osaka,25288996196467069381723074202319955899965237197458730157087625107417,1,0,44,3,2,1,0,6,0,0,0,4,0,0,1,0,0,0,48,6,3,3,0,8,6,2,0,0,0,0,0,0,0,0,4231,3,-1,1,0,0,-1
03/17/2019 00:00,JP1,Kobe,10699480890510115862819528383202209775422954578987147442466341067218,1,1,64,3,1,2,0,4,6,0,0,4,0,0,0,0,0,0,56,10,5,5,0,6,3,0,0,3,0,0,1,0,0,0,4231,1,1,0,1,0,0
03/17/2019 00:00,JP1,Shimizu,20040564689349383462705478647281338122330893292361178846126799443330,1,1,36,9,4,5,0,1,2,1,0,1,0,0,0,0,0,0,44,12,4,8,0,5,6,2,0,4,0,0,1,0,0,0,442,1,-1,0,1,0,0
03/17/2019 00:00,JP1,Sapporo,2241648638029914517776267486710370180234226226401216828149467567932,1,3,49,5,2,3,0,4,2,2,0,0,0,0,0,0,0,0,57,8,1,7,0,10,6,2,0,3,0,0,1,0,0,0,3412,0,1,0,0,1,-1
03/17/2019 00:00,JP1,Kashima,4196245969068186223034392365739249594166695836893574532579079780890,3,1,51,5,2,3,0,4,0,1,0,2,0,0,0,0,0,0,43,9,4,5,0,8,1,0,0,0,0,0,1,0,0,0,442,3,-1,1,0,0,-1
03/16/2019 23:30,JP1,FC_Tokyo,25761376114469815702903512838621258197390868179672640189077709806268,1,0,49,5,1,4,0,6,3,0,0,6,0,0,0,0,0,0,25,8,2,6,0,10,0,3,0,0,0,0,0,0,0,0,442,3,1,1,0,0,1
03/16/2019 23:30,JP1,Nagoya,2647000823339939494669889684486809173375737948133929462600207704981,0,1,51,6,6,0,0,6,1,2,0,1,0,0,1,0,0,0,75,6,0,6,0,6,5,0,0,1,0,0,1,0,0,0,442,0,-1,0,0,1,1
03/16/2019 23:00,JP1,Sagan_Tosu,14107688217751634115458862979298242762167742261476935255801736987466,1,0,55,5,2,3,0,7,2,0,0,3,0,0,1,0,0,0,43,4,1,3,0,9,5,2,0,0,0,1,1,0,0,0,433,3,1,1,0,0,1
03/16/2019 23:00,JP1,Iwata,21113602172018634849213640505188741730663865533717992988839950919223,0,1,45,7,3,4,0,13,2,1,0,2,0,0,1,0,0,0,57,4,0,4,0,6,1,0,0,0,0,0,0,0,0,0,433,0,-1,0,0,1,1
