League,Team,Team_Code,GF,GA,First_Half_Ball_Possession,First_Half_Goal_Attempts,First_Half_Shots_on_Goal,First_Half_Shots_off_Goal,First_Half_Blocked_Shots,First_Half_Free_Kicks,First_Half_Corner_Kicks,First_Half_Offsides,First_Half_Throw_in,First_Half_Goalkeeper_Saves,First_Half_Fouls,First_Half_Red_Cards,First_Half_Yellow_Cards,First_Half_Total_Passes,First_Half_Completed_Passes,First_Half_Tackles,Second_Half_Ball_Possession,Second_Half_Goal_Attempts,Second_Half_Shots_on_Goal,Second_Half_Shots_off_Goal,Second_Half_Blocked_Shots,Second_Half_Free_Kicks,Second_Half_Corner_Kicks,Second_Half_Offsides,Second_Half_Throw_in,Second_Half_Goalkeeper_Saves,Second_Half_Fouls,Second_Half_Red_Cards,Second_Half_Yellow_Cards,Second_Half_Total_Passes,Second_Half_Completed_Passes,Second_Half_Tackles,Lineup,Points,HomeAway,HW,D,HL,Target
5/12/19 6:35,CHI1,Beijing_Guoan,2.05E+67,3,0,66,7,2,4,1,9,1,1,0,0,6,0,0,365,318,10,64,9,6,2,1,6,1,1,0,0,9,0,0,326,272,9,4312,3,1,1,0,0,1
5/12/19 6:35,CHI1,Shenzhen,1.31E+67,0,3,34,0,0,0,0,7,0,0,0,0,9,0,2,191,142,7,36,2,0,2,0,10,0,0,0,5,8,0,2,176,128,16,3421,0,-1,0,0,1,1
5/12/19 6:35,CHI1,Guangzhou_Evergrande,1.19E+67,2,2,58,8,1,5,2,11,1,2,0,3,2,0,1,215,181,4,54,10,5,3,2,7,2,0,0,1,7,0,0,188,152,5,4141,1,1,0,1,0,0
5/12/19 6:35,CHI1,Jiangsu_Suning,2.17E+67,2,2,42,5,3,2,0,4,1,1,0,0,9,0,3,155,118,13,46,5,3,2,0,7,4,1,0,4,8,0,1,155,120,6,442,1,-1,0,1,0,0
5/12/19 6:35,CHI1,Shanghai_SIPG,6.37E+66,2,1,67,7,1,4,2,10,3,0,0,0,8,0,0,281,236,6,59,9,3,4,2,6,5,1,0,0,5,1,4,189,153,4,343,3,1,1,0,0,1
5/12/19 6:35,CHI1,Shandong_Luneng,6.38E+66,1,2,33,5,1,3,1,8,1,0,0,1,10,0,1,138,96,14,41,11,0,7,4,6,5,3,0,1,6,0,2,133,101,14,442,0,-1,0,0,1,1
5/12/19 2:30,CHI1,Tianjin_Tianhai,5.88E+65,1,2,48,5,1,2,2,9,4,1,0,0,4,0,0,249,208,7,60,10,2,6,2,7,2,0,0,1,5,0,0,238,195,14,433,0,1,0,0,1,-1
5/12/19 2:30,CHI1,Guangzhou_R&F,6.76E+66,2,1,52,5,1,3,1,5,2,1,0,1,8,0,0,264,218,15,40,9,2,6,1,6,4,1,0,1,8,0,3,146,100,13,433,3,-1,1,0,0,-1
5/11/19 6:35,CHI1,Chongqing_Lifan,1.60E+67,2,0,65,5,1,2,2,5,6,0,0,0,4,0,0,230,184,11,57,11,2,8,1,10,4,0,0,2,3,0,0,198,166,6,4321,3,1,1,0,0,1
5/11/19 6:35,CHI1,Beijing_Renhe,5.52E+66,0,2,35,2,0,2,0,4,0,1,0,1,5,0,1,127,83,7,43,7,2,3,2,4,5,1,0,0,9,0,0,154,112,7,442,0,-1,0,0,1,1
5/11/19 6:35,CHI1,Hebei,1.99E+67,2,3,63,10,5,4,1,7,0,0,0,1,2,0,0,257,218,15,63,7,3,3,1,5,0,0,0,1,7,1,2,200,164,4,343,0,1,0,0,1,-1
5/11/19 6:35,CHI1,Henan_Jianye,1.47E+67,3,2,37,5,3,2,0,2,2,0,0,3,9,0,0,150,110,11,37,5,2,1,2,8,2,2,0,3,7,0,1,112,83,10,532,3,-1,1,0,0,-1
5/11/19 2:30,CHI1,Dalian_Yifang_F.C.,2.32E+67,1,2,43,5,0,3,2,12,3,1,0,0,8,0,1,139,110,8,59,10,4,2,4,10,5,1,0,0,8,0,0,185,140,8,442,0,1,0,0,1,-1
5/11/19 2:30,CHI1,Wuhan_Zall,2.34E+67,2,1,57,1,0,1,0,6,3,0,0,0,12,0,2,184,151,3,41,6,2,3,1,9,0,0,0,3,10,0,0,135,102,9,532,3,-1,1,0,0,-1
5/10/19 6:35,CHI1,Tianjin_Teda,3.30E+66,1,1,59,5,2,3,0,7,3,0,0,0,9,0,0,260,216,10,65,8,2,2,4,10,2,2,0,0,4,0,0,272,229,9,442,1,1,0,1,0,0
5/10/19 6:35,CHI1,Shanghai_Shenhua,1.68E+67,1,1,41,0,0,0,0,10,2,1,0,1,7,0,1,181,133,3,35,1,1,0,0,5,0,0,0,2,11,0,1,151,105,3,352,1,-1,0,1,0,0
